Time (s),10nm_retentate,10nm_permeate,10nm_cumulative_yield,10nm_sieving_coefficient,180nm_retentate,180nm_permeate,180nm_cumulative_yield,180nm_sieving_coefficient,300nm_retentate,300nm_permeate,300nm_cumulative_yield,300nm_sieving_coefficient
21661.083054152707,0.0017213942046123026,0.00082786057953877,0.8278605795387699,0.8403024087093925,0.04956214153835116,4.378584616488434e-05,0.008757169232976867,0.0036362540405778052,0.05999389667195559,6.103328044416829e-07,0.00010172213407361381,4.1696335669685205e-05
21671.08355417771,0.0017199450500483475,0.0008280054949951654,0.8280054949951653,0.8403235916219889,0.04956191661791822,4.380833820817854e-05,0.008761667641635707,0.0036362541307909217,0.05999389442168037,6.105578319636463e-07,0.00010175963866060772,4.169633657326662e-05
21681.08405420271,0.0017184970763035323,0.000828150292369647,0.8281502923696469,0.840344768033533,0.049561691704435216,4.383082955647889e-05,0.008766165911295776,0.003636254224621908,0.05999389217198187,6.107828018134069e-07,0.00010179713363556782,4.169633747661642e-05
21691.08455422771,0.001717050282075202,0.00082829497179248,0.8282949717924798,0.8403659379507249,0.04956146679836946,4.38533201630548e-05,0.00877066403261096,0.0036362543221465115,0.05999388992285209,6.110077147917222e-07,0.0001018346191319537,4.169633837973783e-05
21701.08505425271,0.0017156046660604372,0.0008284395333939565,0.8284395333939564,0.8403871013802691,0.04956124190018946,4.38758099810551e-05,0.008775161996211018,0.0036362544234415863,0.05999388767428299,6.112325717016716e-07,0.00010187209528361192,4.169633928263407e-05
21711.085554277714,0.0017141602269560552,0.0008285839773043947,0.8285839773043946,0.8404082583288731,0.04956101701036492,4.389829896350797e-05,0.008779659792701592,0.0036362545285851073,0.05999388542626652,6.114573733486543e-07,0.00010190956222477572,4.1696340185308385e-05
21721.086054302716,0.0017127169634586102,0.0008287283036541393,0.8287283036541392,0.8404294088032478,0.049560792129366794,4.392078706332103e-05,0.008784157412664206,0.003636254637656187,0.0599938831787946,6.116821205403909e-07,0.00010194702009006516,4.169634108776401e-05
21731.086554327714,0.001711274874264391,0.0008288725125735611,0.828872512573561,0.8404505528101067,0.04956056725766719,4.394327423328124e-05,0.008788654846656248,0.003636254750735091,0.05999388093185914,6.119068140869225e-07,0.00010198446901448707,4.16963419900042e-05
21741.087054352716,0.0017098339580694207,0.0008290166041930581,0.829016604193058,0.8404716903561665,0.049560342395739455,4.3965760426055013e-05,0.008793152085211002,0.00363625486790326,0.059993878685452,6.121314548006112e-07,0.0001020219091334352,4.169634289203221e-05
21751.08755437772,0.0017083942135694614,0.0008291605786430542,0.829160578643054,0.8404928214481461,0.049560117544058126,4.398824559418808e-05,0.008797649118837614,0.0036362549892433173,0.059993876439565046,6.123560434961399e-07,0.00010205934058268997,4.169634379385133e-05
21761.08805440272,0.0017069556394600097,0.0008293044360539993,0.8293044360539992,0.8405139460927665,0.04955989270309895,4.401072969010563e-05,0.008802145938021125,0.003636255114839093,0.059993874194190104,6.125805809905118e-07,0.00010209676349841864,4.1696344695464814e-05
21771.08855442772,0.0017055182344362986,0.0008294481765563704,0.8294481765563703,0.840535064296751,0.04955966787333888,4.403321266611218e-05,0.008806642533222437,0.003636255244775643,0.059993871949318975,6.128050681030515e-07,0.00010213417801717524,4.1696345596875975e-05
